2023-10-26 23:24:21,947 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:34:22,075 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:34:22,075 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:34:22,076 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:44:22,118 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:44:22,119 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:44:22,120 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:54:22,247 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:54:22,247 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-26 23:54:22,248 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:04:22,369 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:04:22,370 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:04:22,371 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:14:22,498 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:14:22,499 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:14:22,500 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:14:22,502 | DEBUG   | mqtt_device.py line=66 | (0, 9) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-27 00:14:22,502 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:24:22,630 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:24:22,631 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:24:22,632 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:34:22,759 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:34:22,760 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:34:22,760 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:44:22,888 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:44:22,889 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:44:22,890 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:54:22,985 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:54:22,986 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 00:54:22,987 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:04:23,109 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:04:23,110 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:04:23,111 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:14:23,144 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:14:23,145 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:14:23,146 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:14:23,147 | DEBUG   | mqtt_device.py line=66 | (0, 10) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-27 01:14:23,148 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:24:23,275 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:24:23,276 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:24:23,278 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:34:23,384 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:34:23,385 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:34:23,385 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:44:23,465 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:44:23,466 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:44:23,466 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:54:23,544 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:54:23,546 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 01:54:23,547 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:04:23,576 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:04:23,578 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:04:23,579 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:14:23,680 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_imported, val=152, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:14:23,682 | DEBUG   | sml_to_mqtt.py line=118 | entity=energy_exported, val=1295, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:14:23,682 | DEBUG   | sml_to_mqtt.py line=125 | change=False, last_values={'energy_imported': 152, 'energy_exported': 1295}
2023-10-27 02:14:23,684 | DEBUG   | mqtt_device.py line=66 | (0, 11) from publish(topic=homeassistant/sensor/SWM_Energy_meter/state, payload={"energy_imported": "152","energy_exported": "1295"})
2023-10-27 02:14:23,686 | DEBUG   | sml_to_mqtt.py line=161 | MQTT publish: {'energy_imported': 152, 'energy_exported': 1295}
